,Unnamed: 0,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,EB
26,26,27,15736816,Young,2,2,1,1,2,2,1,1,1,2,0,0.804599336
27,27,28,15700772,Nebechi,0,0,1,2,9,0,2,0,0,0,0,0.0
28,28,29,15728693,McWilliams,0,2,0,2,3,2,1,1,1,1,0,1.410849944
29,29,30,15656300,Lucciano,0,0,1,1,0,1,2,1,1,1,0,1.116185248
30,30,31,15589475,Azikiwe,1,1,0,1,3,0,3,1,0,1,1,0.0
31,31,32,15706552,Odinakachukwu,0,0,1,1,7,1,1,0,1,2,0,0.544316087
32,32,33,15750181,Sanderson,0,2,1,2,9,2,2,0,0,1,0,1.344494993
33,33,34,15659428,Maggard,0,1,0,2,6,0,2,1,1,0,0,0.0
34,34,35,15732963,Clements,2,1,0,1,9,0,2,1,1,1,0,0.0
35,35,36,15794171,Lombardo,0,0,0,2,0,2,1,1,0,0,1,4.825651017
36,36,37,15788448,Watson,0,1,1,1,3,2,1,0,1,1,0,1.273466672
37,37,38,15729599,Lorenzo,2,1,1,1,7,1,1,0,1,1,0,0.77751059
38,38,39,15717426,Armstrong,2,0,1,1,7,0,1,1,1,0,0,0.0
39,39,40,15585768,Cameron,0,2,1,2,6,1,2,0,1,2,0,0.395057472
40,40,41,15619360,Hsiao,0,1,1,1,4,0,1,1,0,1,0,0.0
41,41,42,15738148,Clarke,0,0,0,2,8,2,1,0,0,2,1,0.675807546
42,42,43,15687946,Osborne,0,0,0,2,2,2,1,1,1,1,0,1.247101154
43,43,44,15755196,Lavine,2,0,0,2,2,2,1,0,0,2,1,0.67601701
44,44,45,15684171,Bianchi,1,1,0,2,5,2,1,1,1,2,0,0.984796612
45,45,46,15754849,Tyler,2,2,0,1,4,2,2,1,1,1,0,0.864869797
46,46,47,15602280,Martin,2,2,0,1,9,2,1,1,1,1,1,0.935989854
47,47,48,15771573,Okagbue,1,2,0,1,9,2,1,1,1,1,1,1.171913949
48,48,49,15766205,Yin,0,2,1,1,2,2,1,0,1,1,0,1.137692644
49,49,50,15771873,Buccho,2,2,0,1,2,2,2,1,0,2,0,0.534619734
50,50,51,15616550,Chidiebele,1,2,1,2,10,2,2,1,0,2,0,0.587518245
51,51,52,15768193,Trevisani,1,2,1,1,5,2,2,0,0,1,0,1.689924173
52,52,53,15683553,O'Brien,2,0,0,1,5,0,2,0,0,1,0,0.0
53,53,54,15702298,Parkhill,1,2,1,2,8,2,1,0,0,2,1,0.765430691
54,54,55,15569590,Yoo,1,2,1,2,1,2,1,1,0,0,1,2.461484712
55,55,56,15760861,Phillipps,1,0,1,2,1,2,1,1,1,1,0,1.104059422
56,56,57,15630053,Tsao,1,0,1,2,5,2,1,1,0,1,0,1.467890793
57,57,58,15647091,Endrizzi,2,2,1,0,0,1,1,0,0,0,0,1.663713244
58,58,59,15623944,T'ien,0,1,0,2,4,0,1,1,0,0,1,0.0
59,59,60,15804771,Velazquez,1,0,1,2,4,0,1,1,1,0,0,0.869816707
60,60,61,15651280,Hunter,2,2,1,1,5,2,1,0,0,1,0,1.61942606
61,61,62,15773469,Clark,1,2,0,1,9,2,2,0,0,1,0,1.204230181
62,62,63,15702014,Jeffrey,0,1,1,1,1,1,2,0,0,2,0,0.313676043
63,63,64,15751208,Pirozzi,1,1,1,2,8,1,1,1,1,1,0,0.7918356
64,64,65,15592461,Jackson,1,2,1,1,4,2,1,1,1,1,0,1.175846426
65,65,66,15789484,Hammond,2,2,0,1,6,2,2,1,1,0,0,6.118209433
66,66,67,15696061,Brownless,0,2,0,1,1,2,1,1,0,1,0,0.920326454
67,67,68,15641582,Chibugo,2,2,1,2,10,2,2,1,1,2,0,0.626317973
68,68,69,15638424,Glauert,1,2,0,1,5,2,2,0,1,1,0,1.326145586
69,69,70,15755648,Pisano,1,0,0,1,8,2,1,1,0,0,0,5.404233368
70,70,71,15703793,Konovalova,2,2,1,2,2,2,4,1,0,0,1,4.713685061
71,71,72,15620344,McKee,2,0,1,1,6,0,1,1,0,0,0,0.0
72,72,73,15812518,Palermo,1,1,0,1,0,2,1,0,1,0,0,3.701222639
73,73,74,15779052,Ballard,1,2,0,1,5,2,2,1,1,1,0,2.700486985
74,74,75,15770811,Wallace,0,0,1,1,9,0,2,0,1,1,0,0.0
75,75,76,15780961,Cavenagh,2,0,0,1,1,2,2,1,0,0,0,7.982767107
76,76,77,15614049,Hu,1,0,1,2,8,0,2,1,1,1,0,0.0
77,77,78,15662085,Read,1,0,0,1,9,0,1,1,1,1,0,0.0
78,78,79,15575185,Bushell,2,1,1,1,5,1,1,0,1,2,0,0.397721207
79,79,80,15803136,Postle,0,2,0,2,10,2,2,1,0,1,0,1.243007719
80,80,81,15706021,Buley,1,0,0,1,1,1,2,0,0,2,0,0.563814692
81,81,82,15663706,Leonard,2,0,0,1,2,0,1,1,0,1,1,0.0
82,82,83,15641732,Mills,0,0,0,1,3,0,2,0,0,0,0,0.0
83,83,84,15701164,Onyeorulu,0,0,0,1,4,1,1,1,1,2,0,0.567133203
84,84,85,15738751,Beit,0,0,0,2,4,0,2,1,0,0,0,0.0
85,85,86,15805254,Ndukaku,1,1,0,2,10,0,2,1,1,1,0,0.0
86,86,87,15762418,Gant,2,1,1,1,3,2,1,1,0,1,1,0.945885038
87,87,88,15625759,Rowley,2,0,1,1,9,0,2,1,0,2,0,0.0
88,88,89,15622897,Sharpe,1,0,0,2,4,0,3,1,0,1,1,0.0
89,89,90,15767954,Osborne,1,2,0,1,3,1,2,1,1,2,0,0.520587805
90,90,91,15757535,Heap,1,1,0,2,5,0,3,1,1,2,1,0.0
91,91,92,15731511,Ritchie,2,0,1,2,7,2,2,1,0,1,0,0.806256825
92,92,93,15809248,Cole,0,0,0,1,10,0,2,1,0,1,0,0.0
93,93,94,15640635,Capon,2,0,1,1,8,0,2,1,1,2,0,0.0
94,94,95,15676966,Capon,2,1,1,2,4,0,2,0,1,1,0,0.0
95,95,96,15699461,Fiorentini,0,1,1,1,10,2,1,0,1,1,0,1.453472763
96,96,97,15738721,Graham,2,1,1,2,9,2,1,0,1,1,0,1.591873087
97,97,98,15693683,Yuille,2,2,1,1,8,1,2,1,1,2,0,0.492134553
98,98,99,15604348,Allard,1,1,1,1,8,0,2,0,0,1,0,0.0
99,99,100,15633059,Fanucci,0,0,1,1,9,0,2,0,0,0,0,0.0
100,100,101,15808582,Fu,1,0,0,1,6,0,1,1,1,2,0,0.0
101,101,102,15743192,Hung,1,0,0,2,6,0,2,0,0,2,0,0.0
102,102,103,15580146,Hung,2,0,1,1,9,1,1,1,0,0,0,1.969805379
103,103,104,15776605,Bradley,0,1,1,1,7,0,2,1,0,1,0,0.0
104,104,105,15804919,Dunbabin,1,1,0,2,1,0,1,1,1,2,1,0.0
105,105,106,15613854,Mauldon,1,1,0,2,4,2,2,1,1,0,1,3.455694266
106,106,107,15599195,Stiger,0,2,1,1,1,1,1,1,1,0,0,8.845626797
107,107,108,15812878,Parsons,2,2,0,1,2,2,1,0,1,0,0,2.699195327
108,108,109,15602312,Walkom,1,1,1,1,5,2,1,0,0,1,0,2.08860246
109,109,110,15744689,T'ang,0,2,1,1,9,1,1,1,0,1,1,0.933474316
110,110,111,15803526,Eremenko,1,2,1,1,3,1,1,0,1,1,0,1.435204131
111,111,112,15665790,Rowntree,0,2,1,1,7,2,2,1,0,0,0,3.968053627
112,112,113,15715951,Thorpe,0,0,1,2,2,2,1,0,0,1,0,1.15485416
113,113,114,15591100,Chiemela,1,1,1,1,9,2,1,0,1,0,0,4.61812091
114,114,115,15609618,Fanucci,2,2,1,1,9,2,2,0,1,1,1,1.524917143
115,115,116,15675522,Ko,1,2,0,1,9,2,2,1,1,1,0,1.784452507
116,116,117,15705512,Welch,1,2,0,1,6,2,1,1,0,1,0,1.451633365
117,117,118,15698028,Duncan,0,0,0,2,1,0,2,1,0,0,0,0.0
118,118,119,15661670,Chidozie,0,2,0,1,8,2,1,1,0,2,1,0.53983437
119,119,120,15600781,Wu,1,2,1,1,4,2,2,1,0,1,0,1.532458368
120,120,121,15682472,Culbreth,2,0,1,1,8,2,2,0,0,0,0,3.394370101
121,121,122,15580203,Kennedy,1,1,1,1,6,2,1,0,0,1,0,1.200362326
122,122,123,15690673,Cameron,1,0,0,1,6,0,2,1,0,1,0,0.0
123,123,124,15760085,Calabresi,1,2,0,2,10,2,1,1,1,2,0,0.637888398
124,124,125,15779659,Zetticci,1,0,0,1,3,0,1,0,0,2,0,0.0
125,125,126,15627360,Fuller,0,0,1,2,9,2,1,1,0,1,1,1.383966969
126,126,127,15671137,MacDonald,0,0,0,2,1,0,1,0,1,0,1,0.0
127,127,128,15782688,Piccio,1,2,1,2,0,2,1,1,0,0,1,3.171599741
128,128,129,15575492,Kennedy,2,0,0,2,7,0,2,1,0,2,0,0.0
129,129,130,15591607,Fernie,2,0,1,1,9,2,1,1,0,2,0,0.608808395
130,130,131,15740404,He,2,0,0,1,3,0,2,1,1,1,0,0.0
131,131,132,15718369,Kaodilinakachukwu,2,2,0,1,9,2,1,1,1,1,0,1.138575638
132,132,133,15677871,Cocci,1,0,1,1,9,2,1,1,1,0,0,3.442143364
133,133,134,15642004,Alekseeva,1,0,1,1,1,0,2,0,1,0,0,0.0
134,134,135,15712543,Chinweike,2,2,1,1,7,2,2,1,1,1,0,1.003354846
135,135,136,15584518,Arthur,1,2,0,2,5,2,2,1,1,0,0,4.146821677
136,136,137,15802381,Li,0,2,0,1,5,1,1,0,1,2,0,0.379439182
137,137,138,15610156,Ma,1,0,1,1,2,2,1,0,1,1,0,1.432540256
138,138,139,15594408,Chia,1,1,0,2,2,2,1,1,0,1,1,2.835852251
139,139,140,15640905,Vasin,0,1,0,1,1,2,2,0,1,0,1,15.07309073
140,140,141,15698932,Groves,2,2,1,2,10,2,1,1,0,2,0,0.725172849
141,141,142,15724944,Tien,1,0,1,1,7,0,2,1,1,2,0,0.0
142,142,143,15628145,Forwood,1,0,0,2,5,2,1,1,1,2,0,0.651008779
143,143,144,15713483,Greeves,2,1,1,2,2,0,1,1,0,2,1,0.0
144,144,145,15612350,Taylor,1,0,0,1,5,0,1,1,0,1,1,0.324176414
145,145,146,15800703,Madukwe,0,1,0,1,5,2,1,1,1,1,0,2.090027428
146,146,147,15705707,Bennelong,1,1,0,1,8,2,2,1,0,1,0,0.980304377
147,147,148,15754105,Olisanugo,1,0,1,1,5,2,1,0,0,0,0,4.366893202
148,148,149,15703264,Chukwufumnanya,2,0,1,2,9,2,1,1,0,1,0,1.612607324
149,149,150,15794413,Harris,0,0,1,1,0,0,2,0,1,0,0,0.0
150,150,151,15650237,Morgan,2,1,0,1,7,0,2,1,0,1,0,0.0
151,151,152,15759618,Alexeeva,0,0,0,2,9,0,1,1,0,2,1,0.0
152,152,153,15811589,Metcalfe,1,1,1,2,8,0,2,1,0,2,0,0.0
153,153,154,15689044,Humphries,0,0,1,1,2,2,1,1,0,1,0,1.293608513
154,154,155,15709368,Milne,1,0,0,2,6,0,2,1,1,1,0,0.0
155,155,156,15679145,Chou,1,1,1,2,7,0,1,1,0,0,1,0.0
156,156,157,15655007,Li,2,0,0,1,7,0,2,0,0,1,0,0.0
157,157,158,15623595,Clayton,1,1,0,1,2,0,2,1,1,1,0,0.0
158,158,159,15589975,Maclean,1,0,0,2,6,2,1,0,1,1,0,0.928758268
159,159,160,15804017,Chigolum,1,2,0,1,4,2,1,0,0,1,0,1.093702704
160,160,161,15692132,Wilkinson,1,1,0,1,6,2,1,0,1,1,0,1.193161452
161,161,162,15641122,Wei,1,0,1,1,2,0,2,1,0,1,0,0.0
162,162,163,15630910,Treacy,2,0,0,2,7,2,1,0,0,0,0,2.291928019
163,163,164,15680772,Hu,2,1,0,1,2,0,2,1,1,1,0,0.0
164,164,165,15658929,Taverner,1,1,1,1,0,2,1,1,0,1,1,2.405483628
165,165,166,15585388,Sherman,1,2,1,1,9,2,2,1,1,1,0,0.895015265
166,166,167,15724623,Taubman,1,2,0,1,7,2,1,1,0,2,1,0.695580304
167,167,168,15588537,Robinson,1,1,0,2,9,2,1,1,0,2,0,0.55477482
168,168,169,15574692,Pinto,1,1,0,1,2,0,2,1,0,0,1,0.0
169,169,170,15611325,Wood,1,2,1,1,9,1,2,0,0,1,0,1.090252624
170,170,171,15587562,Hawkins,0,0,0,1,4,2,1,1,0,2,0,0.79329389
171,171,172,15613172,Sun,1,2,1,1,5,1,2,1,0,2,0,0.614284342
172,172,173,15651022,Yost,0,2,1,2,10,2,1,1,0,0,1,23.68274709
173,173,174,15586310,Ting,0,0,1,1,4,2,1,1,0,1,0,1.510530844
174,174,175,15625524,Rowe,0,0,1,1,5,0,2,1,1,1,0,0.0
175,175,176,15755209,Fu,0,1,0,1,7,2,1,1,1,0,0,4.906095411
176,176,177,15645248,Ho,0,0,0,1,0,0,2,1,1,1,0,0.0
177,177,178,15790355,Okechukwu,1,2,1,1,5,2,2,0,0,2,0,1.062043338
178,178,179,15762615,Campbell,1,1,0,1,8,2,1,0,1,1,0,1.076170583
179,179,180,15625426,Ashbolt,2,2,0,2,3,2,1,1,0,0,1,19.99898649
180,180,181,15716334,Rozier,2,1,0,2,2,2,1,1,1,0,0,6.27800385
181,181,182,15789669,Hsia,0,0,1,2,2,0,2,1,1,0,0,0.0
182,182,183,15621075,Ogbonnaya,2,2,0,2,1,2,2,1,0,2,0,0.929062282
183,183,184,15810845,T'ang,1,0,1,2,2,0,2,1,1,1,0,0.0
184,184,185,15719377,Cocci,2,0,0,2,4,0,1,1,1,0,1,0.0
185,185,186,15654506,Chang,0,0,1,1,8,0,2,1,0,1,0,0.0
186,186,187,15771977,T'ao,2,0,0,1,1,2,1,1,0,2,0,0.507888193
187,187,188,15708710,Ford,0,1,0,1,0,0,1,0,1,1,0,0.0
188,188,189,15726676,Marshall,1,1,1,1,5,0,2,0,1,2,0,0.0
189,189,190,15587421,Tsai,1,2,0,1,7,2,2,1,0,1,0,0.749761787
190,190,191,15726931,Onwumelu,1,0,0,2,8,1,2,0,0,1,1,0.604573801
191,191,192,15771086,Graham,0,0,0,1,3,1,2,1,0,0,0,4.770922346
192,192,193,15756850,Golovanov,0,0,1,1,1,0,2,0,0,1,0,0.0
193,193,194,15702741,Potts,1,0,1,1,8,1,1,1,0,1,0,1.069637186
194,194,195,15679200,Crawford,0,1,1,1,9,1,2,1,0,1,0,0.481819956
195,195,196,15594815,Aleshire,2,0,1,1,3,2,1,1,1,0,0,291.1422313
196,196,197,15635905,Moran,1,1,0,1,6,0,2,1,1,0,0,0.0
197,197,198,15777892,Samsonova,2,2,1,1,3,2,1,1,1,2,0,0.679235004
198,198,199,15656176,Jenkins,0,0,1,2,10,0,2,1,1,0,0,0.0
199,199,200,15811127,Volkov,0,0,1,1,6,1,1,1,0,0,0,9.193344291
200,200,201,15604482,Chiemezie,2,1,1,1,2,2,1,1,1,0,0,23.59238734
201,201,202,15622911,Jude,2,0,1,2,4,2,1,0,1,1,0,0.86830571
202,202,203,15600974,He,0,1,1,2,5,0,1,0,1,1,1,0.0
203,203,204,15727868,Onuora,1,0,0,1,2,2,2,1,1,0,1,8.975535066
204,204,205,15627801,Ginikanwa,0,1,1,1,3,2,1,1,0,1,0,1.866115803
205,205,206,15773039,Ku,0,0,1,1,3,0,1,1,1,2,0,0.0
206,206,207,15755262,McDonald,1,1,0,2,3,1,1,0,0,2,1,0.450384873
207,207,208,15679531,Collins,1,0,1,1,5,2,1,1,1,2,0,0.888125246
208,208,209,15684181,Hackett,1,0,1,2,5,0,1,1,0,1,1,0.0
209,209,210,15612087,Dike,1,0,1,2,2,2,1,0,1,2,0,0.672145486
210,210,211,15752047,Trevisano,1,2,1,1,2,2,2,1,0,2,0,0.95532427
211,211,212,15624592,Tan,1,0,1,1,8,0,2,1,1,2,0,0.0
212,212,213,15573152,Glassman,1,0,0,2,9,0,2,0,0,1,0,0.0
213,213,214,15594917,Miller,1,0,0,1,1,1,1,1,1,0,0,1.552312772
214,214,215,15785542,Kornilova,0,2,1,1,4,2,2,0,0,1,0,1.957509437
215,215,216,15723488,Watson,1,2,1,2,7,2,1,0,1,2,1,0.676467922
216,216,217,15680920,Marchesi,1,0,1,2,7,1,1,1,0,1,0,0.372254268
217,217,218,15786308,Millar,2,1,0,1,9,0,2,0,0,2,0,0.0
218,218,219,15659366,Shih,2,0,1,2,1,2,2,1,0,0,1,3.032538371
219,219,220,15774854,Fuller,1,0,1,2,8,0,1,1,1,0,1,0.0
220,220,221,15725311,Hay,2,0,0,1,9,2,2,1,1,1,0,1.168503982
221,221,222,15787155,Yang,0,1,1,1,7,0,1,0,1,1,0,0.0
222,222,223,15727829,McIntyre,0,0,1,2,2,0,2,1,1,2,0,0.0
223,223,224,15733247,Stevenson,2,0,1,1,10,0,1,1,0,0,1,0.0
224,224,225,15568748,Poole,1,2,1,2,6,2,1,1,1,1,1,0.914503348
225,225,226,15699029,Bagley,1,0,1,1,4,2,2,1,0,2,0,0.860304829
226,226,227,15774393,Ch'ien,1,0,0,1,9,0,2,1,1,0,0,0.0
227,227,228,15676895,Cattaneo,0,2,0,1,6,1,3,1,1,1,1,0.869961253
228,228,229,15637753,O'Sullivan,2,2,1,2,2,1,1,1,0,1,1,1.254929361
229,229,230,15605461,Lucas,1,2,0,1,3,2,1,1,0,1,0,2.143052748
230,230,231,15808473,Ringrose,1,0,1,2,1,0,2,0,1,1,0,0.0
231,231,232,15627000,Freeman,1,0,1,1,0,0,2,1,0,1,0,0.0
232,232,233,15787174,Sergeyev,0,0,0,1,1,0,2,0,1,2,0,0.0
233,233,234,15723886,Fiore,2,2,1,0,3,2,2,0,1,2,0,0.797375342
234,234,235,15704769,Smith,1,0,0,2,5,2,2,0,1,1,0,1.223657864
235,235,236,15772896,Dumetochukwu,2,2,1,2,6,2,1,1,0,0,1,2.9931844
236,236,237,15711540,Pacheco,1,0,0,1,2,0,1,1,1,1,0,0.0
237,237,238,15764866,Synnot,0,2,0,2,3,2,3,1,0,1,1,2.082656858
238,238,239,15794056,Johnston,1,0,0,2,2,0,3,1,0,1,1,0.0
239,239,240,15795149,Stevens,1,0,1,1,2,1,2,0,1,2,0,0.498573509
240,240,241,15812009,Grant,1,1,1,1,4,0,2,1,0,1,0,0.0
241,241,242,15651001,Tsao,2,2,0,1,5,2,1,1,0,1,0,0.941563914
242,242,243,15813844,Barnes,1,0,1,1,8,2,2,0,1,1,0,1.428848363
243,243,244,15596175,McIntosh,1,2,1,2,6,2,1,1,1,0,1,2.605031296
244,244,245,15576269,Madison,0,1,1,1,7,0,2,1,0,1,0,0.0
245,245,246,15797219,Ifesinachi,1,0,0,1,10,2,1,1,0,1,1,0.935919341
246,246,247,15685500,Glazkov,2,2,1,1,7,2,2,1,0,1,0,1.919063515
247,247,248,15599792,Dimauro,0,0,0,1,1,0,2,1,1,2,0,0.0
248,248,249,15657566,Wieck,1,2,1,1,8,2,1,1,1,2,0,0.654268455
249,249,250,15772423,Liao,2,2,1,2,8,2,1,1,0,1,1,0.940465962
250,250,251,15628112,Hughes,2,2,0,1,5,1,1,0,0,1,0,0.779982244
251,251,252,15753754,Morrison,1,1,0,1,1,0,2,1,1,1,0,0.0
252,252,253,15793726,Matveyeva,1,0,0,2,0,0,2,0,1,2,0,0.0
253,253,254,15694717,Ku,0,2,1,1,2,1,1,1,1,1,0,1.38522176
254,254,255,15665834,Cheatham,1,1,1,1,8,0,1,0,0,2,0,0.0
255,255,256,15765297,Yao,2,1,1,2,0,0,2,0,1,0,0,0.0
256,256,257,15636684,Kirkland,2,0,1,1,10,0,2,1,1,2,0,0.0
257,257,258,15592979,Rose,1,2,0,1,6,0,2,0,0,2,0,0.237492697
258,258,259,15750803,Jess,1,0,0,1,6,2,1,1,1,0,0,2.536649874
259,259,260,15607178,Welch,2,2,1,1,3,1,1,1,1,1,0,0.391938565
260,260,261,15713853,Ifeajuna,2,2,1,2,9,2,2,1,1,1,0,1.664771931
261,261,262,15673481,Morton,2,1,0,2,6,2,1,1,0,1,0,1.55318964
262,262,263,15686776,Rossi,0,0,0,1,6,2,2,1,0,0,0,12.34828676
263,263,264,15673693,Reppert,1,0,0,1,0,2,1,0,1,1,0,0.989048993
264,264,265,15700696,Kang,2,1,1,1,9,1,1,1,1,0,0,4.246953843
265,265,266,15813163,Ch'iu,0,1,0,1,9,2,1,1,0,1,0,0.805935681
266,266,267,15653857,Wallis,0,0,1,1,2,0,2,1,1,1,0,0.0
267,267,268,15777076,Clark,1,0,1,1,7,0,2,1,0,0,0,0.0
268,268,269,15717398,Fielding,0,1,0,1,7,0,1,0,0,1,1,0.0
269,269,270,15799217,Zetticci,2,2,0,1,7,1,1,1,0,2,0,0.325586031
270,270,271,15787071,Dulhunty,1,1,1,2,9,0,2,0,1,2,0,0.0
271,271,272,15619955,Bevington,2,2,1,1,3,2,3,1,0,0,1,2.066302177
272,272,273,15796505,Boyle,2,2,0,1,1,2,2,1,1,2,0,0.801209608
273,273,274,15725166,Newton,1,0,1,1,8,0,2,1,0,0,0,0.0
274,274,275,15800116,Bowman,1,2,1,1,4,2,1,0,1,1,0,1.550915693
275,275,276,15758685,Dubinina,1,1,0,1,7,0,2,1,1,1,0,0.0
276,276,277,15694456,Toscani,2,0,1,2,3,0,1,1,1,0,1,0.0
277,277,278,15767339,Chiazagomekpere,2,0,0,2,10,0,2,1,0,2,0,0.0
278,278,279,15683562,Allen,1,0,1,1,6,1,1,0,1,2,0,0.511561335
279,279,280,15782210,K'ung,1,0,1,2,1,0,1,1,0,2,1,0.0
280,280,281,15668893,Wilsmore,2,0,1,1,8,0,2,1,1,0,0,0.0
281,281,282,15669169,Hargreaves,2,1,1,1,10,0,2,1,1,1,0,0.0
282,282,283,15643024,Huang,0,2,1,1,4,2,1,1,1,0,1,2.935738942
283,283,284,15699389,Ch'ien,2,0,1,2,7,2,1,1,1,0,0,4.569110305
284,284,285,15708608,Wallwork,2,0,0,1,8,2,2,0,1,2,0,0.904233498
285,285,286,15626144,Chu,1,0,1,1,7,2,2,1,0,0,0,3.274074712
286,286,287,15573112,Kang,1,1,1,1,5,2,1,1,0,2,0,0.644466806
287,287,288,15790678,Davidson,0,0,0,1,8,2,1,1,0,1,0,1.180595715
288,288,289,15727556,O'Donnell,2,1,0,1,5,2,1,1,1,2,0,0.915261304
289,289,290,15697307,Nnachetam,1,1,1,1,10,0,2,1,0,1,0,0.0
290,290,291,15652266,Chidiebele,1,2,1,2,9,1,1,0,1,1,0,0.460447819
291,291,292,15607098,Ahmed,2,1,0,2,5,1,2,1,0,2,0,0.484905826
292,292,293,15655774,Booth,0,0,1,1,7,0,2,1,0,1,0,0.0
293,293,294,15590241,Chuang,2,1,0,1,9,2,1,0,0,2,1,0.750140374
294,294,295,15785819,Shao,1,0,1,1,3,0,2,1,1,1,0,0.0
295,295,296,15723654,Tsao,2,0,1,1,2,2,1,1,0,1,0,1.84509923
296,296,297,15774510,Tien,1,0,0,1,4,2,1,1,1,1,0,1.173789483
297,297,298,15684173,Chang,1,1,0,2,7,0,3,1,0,2,1,0.0
298,298,299,15650068,Johnson,0,0,1,2,0,2,1,1,1,2,0,0.917083391
299,299,300,15811490,French,1,0,1,1,5,0,2,1,1,1,0,0.0
300,300,301,15803976,Efremov,1,0,0,1,10,0,2,1,0,2,0,0.0
301,301,302,15682541,Hartley,1,1,0,1,6,2,1,0,0,0,0,8.556753481
302,302,303,15695699,Calabrese,1,0,1,1,8,0,2,1,0,0,0,0.0
303,303,304,15624188,Chiu,1,0,0,1,6,0,2,1,1,2,0,0.0
304,304,305,15812191,Brennan,0,0,1,1,4,2,1,0,0,1,0,1.250342306
305,305,306,15636673,Onwuatuegwu,1,0,1,1,1,2,1,1,1,0,0,4.220689775
306,306,307,15594898,Hewitt,2,0,1,2,2,0,1,1,1,2,1,0.0
307,307,308,15660211,Shih,1,2,1,1,7,2,2,1,0,0,0,4.928540118
308,308,309,15773972,Balashov,1,0,1,2,4,2,1,1,0,1,1,1.078149362
309,309,310,15746726,Doyle,0,2,1,1,8,1,1,1,0,0,0,1.744635213
310,310,311,15712287,Pokrovskii,1,0,0,2,4,0,2,1,1,2,0,0.0
311,311,312,15702919,Collins,2,2,1,1,6,1,1,1,0,1,0,0.438762448
312,312,313,15674398,Russo,1,0,1,1,3,0,2,0,0,2,0,0.0
313,313,314,15797960,Skinner,2,2,0,2,0,2,1,1,0,2,0,0.740042008
314,314,315,15631868,Robertson,2,1,1,1,2,2,1,1,1,1,0,1.763542798
315,315,316,15581539,Atkinson,0,1,1,1,3,0,2,0,0,1,0,0.0
316,316,317,15662736,Doyle,0,0,1,2,2,2,1,1,0,1,1,1.220082689
317,317,318,15666252,Ritchie,1,1,1,2,9,0,2,1,1,0,0,0.0
318,318,319,15677512,McEncroe,1,1,0,1,3,0,1,1,0,1,0,0.0
319,319,320,15626114,Pearson,0,0,1,1,4,1,1,1,0,0,0,2.073645111
320,320,321,15810834,Gordon,0,1,0,2,2,2,1,1,1,1,0,2.26484165
321,321,322,15678910,Ts'ai,1,0,0,1,8,2,1,1,1,0,0,8.688617892
322,322,323,15694408,Lung,2,0,1,1,1,2,1,1,0,2,1,0.761751607
323,323,324,15585215,Yuan,2,0,0,1,4,0,2,0,0,0,0,0.0
324,324,325,15682757,Pardey,2,0,1,1,3,0,2,1,0,1,0,0.0
